# timestamp: 1605559639.725576
# datetime: 2020-11-16T15:47:19.725576
# note: Settings pulled from archiver
# filepath: settings_at_2020-11-16T20:49:13.000Z.csv
# user: tong
# ion_name: 
# ion_number: 
# ion_mass: 
# ion_charge: 
# machine: FRIB_VA
# segment: LS1FS1
# tags: 
# app: Settings Manager
# version: 5.0
Name,Field,Type,Pos,Setpoint,Readback,Last Setpoint,Tolerance,Writable
LS1_CB05:DCV_D1490,I,VCOR,36.63390592,0.00022976,nan,nan,0.1,True
LS1_CB05:DCH_D1490,I,HCOR,36.63390592,1.95e-05,nan,nan,0.1,True
LS1_CB05:DCV_D1510,I,VCOR,38.63163176,0.00021353,nan,nan,0.1,True
LS1_CB05:DCH_D1510,I,HCOR,38.63163176,1.9e-05,nan,nan,0.1,True
LS1_CB05:DCV_D1530,I,VCOR,40.6293576,0.00024265,nan,nan,0.1,True
LS1_CB05:DCH_D1530,I,HCOR,40.6293576,2.86e-06,nan,nan,0.1,True
LS1_CB06:DCV_D1554,I,VCOR,43.00633044,0.00018918,nan,nan,0.1,True
LS1_CB06:DCH_D1554,I,HCOR,43.00633044,1.82e-05,nan,nan,0.1,True
LS1_CB06:DCV_D1574,I,VCOR,45.00405628,0.00018111,nan,nan,0.1,True
LS1_CB06:DCH_D1574,I,HCOR,45.00405628,1.712e-05,nan,nan,0.1,True
LS1_CB06:DCV_D1594,I,VCOR,47.00178212,0.00021416,nan,nan,0.1,True
LS1_CB06:DCH_D1594,I,HCOR,47.00178212,3.88e-06,nan,nan,0.1,True
LS1_CB07:DCV_D1618,I,VCOR,49.37875496,0.00016468,nan,nan,0.1,True
LS1_CB07:DCH_D1618,I,HCOR,49.37875496,1.538e-05,nan,nan,0.1,True
LS1_CB07:DCV_D1637,I,VCOR,51.3764808,0.00016049,nan,nan,0.1,True
LS1_CB07:DCH_D1637,I,HCOR,51.3764808,1.766e-05,nan,nan,0.1,True
LS1_CB07:DCV_D1657,I,VCOR,53.37420664,0.00019645,nan,nan,0.1,True
LS1_CB07:DCH_D1657,I,HCOR,53.37420664,2.36e-06,nan,nan,0.1,True
LS1_CB08:DCV_D1681,I,VCOR,55.75117948,0.00014625,nan,nan,0.1,True
LS1_CB08:DCH_D1681,I,HCOR,55.75117948,1.503e-05,nan,nan,0.1,True
LS1_CB08:DCV_D1701,I,VCOR,57.74890532,0.00014546,nan,nan,0.1,True
LS1_CB08:DCH_D1701,I,HCOR,57.74890532,1.666e-05,nan,nan,0.1,True
LS1_CB08:DCV_D1721,I,VCOR,59.74663116,0.00017756,nan,nan,0.1,True
LS1_CB08:DCH_D1721,I,HCOR,59.74663116,3.44e-06,nan,nan,0.1,True
LS1_CB09:DCV_D1745,I,VCOR,62.123604,0.00013135,nan,nan,0.1,True
LS1_CB09:DCH_D1745,I,HCOR,62.123604,1.341e-05,nan,nan,0.1,True
LS1_CB09:DCV_D1765,I,VCOR,64.12132984,0.00013235,nan,nan,0.1,True
LS1_CB09:DCH_D1765,I,HCOR,64.12132984,1.604e-05,nan,nan,0.1,True
LS1_CB09:DCV_D1785,I,VCOR,66.11905568,0.00016133,nan,nan,0.1,True
LS1_CB09:DCH_D1785,I,HCOR,66.11905568,3.43e-06,nan,nan,0.1,True
LS1_CB10:DCV_D1809,I,VCOR,68.49602852,0.00011953,nan,nan,0.1,True
LS1_CB10:DCH_D1809,I,HCOR,68.49602852,1.207e-05,nan,nan,0.1,True
LS1_CB10:DCV_D1829,I,VCOR,70.49375436,0.0001209,nan,nan,0.1,True
LS1_CB10:DCH_D1829,I,HCOR,70.49375436,1.502e-05,nan,nan,0.1,True
LS1_CB10:DCV_D1849,I,VCOR,72.4914802,0.00015105,nan,nan,0.1,True
LS1_CB10:DCH_D1849,I,HCOR,72.4914802,3.19e-06,nan,nan,0.1,True
LS1_CB11:DCV_D1872,I,VCOR,74.86845304,0.0001088,nan,nan,0.1,True
LS1_CB11:DCH_D1872,I,HCOR,74.86845304,1.274e-05,nan,nan,0.1,True
LS1_CB11:DCV_D1892,I,VCOR,76.86617888,0.00011545,nan,nan,0.1,True
LS1_CB11:DCH_D1892,I,HCOR,76.86617888,9.95e-06,nan,nan,0.1,True
LS1_CB11:DCV_D1912,I,VCOR,78.86390472,0.00012897,nan,nan,0.1,True
LS1_CB11:DCH_D1912,I,HCOR,78.86390472,1.334e-05,nan,nan,0.1,True
LS1_BTS:DCV_D1937,I,VCOR,81.36595376,-3.87e-06,nan,nan,0.1,True
LS1_BTS:DCH_D1937,I,HCOR,81.36595376,-2.093e-05,nan,nan,0.1,True
LS1_BTS:DCV_D1964,I,VCOR,84.01395376,-1.254e-05,nan,nan,0.1,True
LS1_BTS:DCH_D1964,I,HCOR,84.01395376,1.742e-05,nan,nan,0.1,True
LS1_BTS:DCV_D1997,I,VCOR,87.34895376,1e-08,nan,nan,0.1,True
LS1_BTS:DCH_D1997,I,HCOR,87.34895376,-1.4e-07,nan,nan,0.1,True
LS1_BTS:DCV_D2024,I,VCOR,90.05516576,1.6e-07,nan,nan,0.1,True
LS1_BTS:DCH_D2024,I,HCOR,90.05516576,-9e-08,nan,nan,0.1,True
LS1_BTS:DCV_D2061,I,VCOR,93.71048676,6.136e-05,nan,nan,0.1,True
LS1_BTS:DCH_D2061,I,HCOR,93.71048676,6e-08,nan,nan,0.1,True
LS1_BTS:DCV_D2114,I,VCOR,98.98555576,0.00010865,nan,nan,0.1,True
LS1_BTS:DCH_D2114,I,HCOR,98.98555576,-5.9e-07,nan,nan,0.1,True
FS1_CSS:DCV_D2189,I,VCOR,106.57330876,0.00057446,nan,nan,0.1,True
FS1_CSS:DCH_D2189,I,HCOR,106.57330876,1.23e-06,nan,nan,0.1,True
FS1_CSS:DCV_D2210,I,VCOR,108.61115876,-0.00059569,nan,nan,0.1,True
FS1_CSS:DCH_D2210,I,HCOR,108.61115876,-8.3e-07,nan,nan,0.1,True
FS1_CSS:DCV_D2257,I,VCOR,113.30366476,2.3e-07,nan,nan,0.1,True
FS1_CSS:DCH_D2257,I,HCOR,113.30366476,7e-08,nan,nan,0.1,True
FS1_CSS:DCV_D2276,I,VCOR,115.19981476,-2.8e-07,nan,nan,0.1,True
FS1_CSS:DCH_D2276,I,HCOR,115.19981476,5e-08,nan,nan,0.1,True
FS1_CSS:DCV_D2351,I,VCOR,122.72630576,0.00113443,nan,nan,0.1,True
FS1_CSS:DCH_D2351,I,HCOR,122.72630576,3.399e-05,nan,nan,0.1,True
FS1_CSS:DCV_D2367,I,VCOR,124.35130576,-0.00032726,nan,nan,0.1,True
FS1_CSS:DCH_D2367,I,HCOR,124.35130576,-0.00022171,nan,nan,0.1,True
FS1_CSS:DCV_D2381,I,VCOR,125.69630576,7e-07,nan,nan,0.1,True
FS1_CSS:DCH_D2381,I,HCOR,125.69630576,0.0008024,nan,nan,0.1,True
FS1_BBS:DCV_D2412,I,VCOR,128.836832826,-5.3e-07,nan,nan,0.1,True
FS1_BBS:DCH_D2412,I,HCOR,128.836832826,0.00328714,nan,nan,0.1,True
FS1_BBS:DCV_D2476,I,VCOR,135.19458396,-3.8e-07,nan,nan,0.1,True
FS1_BBS:DCH_D2476,I,HCOR,135.19458396,0.0032,nan,nan,0.1,True
FS1_BMS:DCV_D2507,I,VCOR,138.335236526,2.5e-07,nan,nan,0.1,True
FS1_BMS:DCH_D2507,I,HCOR,138.335236526,0.00095394,nan,nan,0.1,True
FS1_BMS:DCV_D2534,I,VCOR,141.005236526,7e-07,nan,nan,0.1,True
FS1_BMS:DCH_D2534,I,HCOR,141.005236526,-0.00023002,nan,nan,0.1,True
FS1_BMS:DCV_D2584,I,VCOR,146.052834626,-4.8e-07,nan,nan,0.1,True
FS1_BMS:DCH_D2584,I,HCOR,146.052834626,-1.3e-07,nan,nan,0.1,True
FS1_BMS:DCV_D2640,I,VCOR,151.672284626,0.00076893,nan,nan,0.1,True
FS1_BMS:DCH_D2640,I,HCOR,151.672284626,2.198e-05,nan,nan,0.1,True
FS1_BMS:DCV_D2662,I,VCOR,153.794689726,-0.00048194,nan,nan,0.1,True
FS1_BMS:DCH_D2662,I,HCOR,153.794689726,-2.711e-05,nan,nan,0.1,True
